Torrevecchia Pia;PV;L285
Torri in Sabina;RI;L286
Torri del Benaco;VR;L287
Torrice;FR;L290
Torricella Peligna;CH;L291
Torricella Verzate;PV;L292
Torricella in Sabina;RI;L293
Torricella;TA;L294
Torricella Sicura;TE;L295
Torricella del Pizzo;CR;L296
Torri di Quartesolo;VI;L297
Torriglia;GE;L298
Torrile;PR;L299
Torrioni;AV;L301
Torrita Tiberina;RM;L302
Torrita di Siena;SI;L303
Tortona;AL;L304
Tortora;CS;L305
Tortorella;SA;L306
Tortoreto;TE;L307
Tortorici;ME;L308
Torviscosa;UD;L309
Tuscania;VT;L310
Toscolano-Maderno;BS;L312
Tossicia;TE;L314
Tovo San Giacomo;SV;L315
Tovo di Sant'Agata;SO;L316
Trabia;PA;L317
Tradate;VA;L319
Tramatza;OR;L321
Trambileno;TN;L322
Tramonti;SA;L323
Tramonti di Sopra;PN;L324
Tramonti di Sotto;PN;L325
Tramutola;PZ;L326
Trana;TO;L327
Trani;BT;L328
Traona;SO;L330
Trapani;TP;L331
Trappeto;PA;L332
Trarego Viggiona;VB;L333
Trasacco;AQ;L334
Trasaghis;UD;L335
Trasquera;VB;L336
Tratalias;SU;L337
Travagliato;BS;L339
Traves;TO;L340
Travedona-Monate;VA;L342
Traversella;TO;L345
Traversetolo;PR;L346
Travesio;PN;L347
Travo;PC;L348
Trebaseleghe;PD;L349
Trebisacce;CS;L353
Trecastagni;CT;L355
Trecate;NO;L356
Trecchina;PZ;L357
Trecenta;RO;L359
Tredozio;FC;L361
Treglio;CH;L363
Tregnago;VR;L364
Treia;MC;L366
Treiso;CN;L367
Tremestieri Etneo;CT;L369
Tremosine sul Garda;BS;L372
Trentinara;SA;L377
Trento;TN;L378
Trentola Ducenta;CE;L379
Trenzano;BS;L380
Treppo Grande;UD;L382
Trepuzzi;LE;L383
Trequanda;SI;L384
Tresana;MS;L386
Trescore Balneario;BG;L388
Trescore Cremasco;CR;L389
Tresivio;SO;L392
Tresnuraghes;OR;L393
Trevenzuolo;VR;L396
Trevi;PG;L397
Trevi nel Lazio;FR;L398
Trevico;AV;L399
Treviglio;BG;L400
Trevignano Romano;RM;L401
Trevignano;TV;L402
Treville;AL;L403
Treviolo;BG;L404
Treviso Bresciano;BS;L406
Treviso;TV;L407
Trezzano Rosa;MI;L408
Trezzano sul Naviglio;MI;L409
Trezzo Tinella;CN;L410
Trezzo sull'Adda;MI;L411
Trezzone;CO;L413
Tribano;PD;L414
Tribiano;MI;L415
Tribogna;GE;L416
Tricarico;MT;L418
Tricase;LE;L419
Tricerro;VC;L420
Tricesimo;UD;L421
Triei;NU;L423
Trieste;TS;L424
Triggiano;BA;L425
Trigolo;CR;L426
Trinità;CN;L427
Trinità d'Agultu e Vignola;SS;L428
Trino;VC;L429
Triora;IM;L430
Tripi;ME;L431
Trisobbio;AL;L432
Trissino;VI;L433
Triuggio;MB;L434
Trivento;CB;L435
Trivigliano;FR;L437
Trivignano Udinese;UD;L438
Trivigno;PZ;L439
Trivolzio;PV;L440
Trodena nel parco naturale/Truden im Naturpark;BZ;L444
Trofarello;TO;L445
Troia;FG;L447
Troina;EN;L448
Tromello;PV;L449
Trontano;VB;L450
Tronzano Vercellese;VC;L451
Tropea;VV;L452
Trovo;PV;L453
Truccazzano;MI;L454
Tubre/Taufers im Münstertal;BZ;L455
Tufara;CB;L458
Tufillo;CH;L459
Tufino;NA;L460
Tufo;AV;L461
Tuglie;LE;L462
Tuili;SU;L463
Tula;SS;L464
Tuoro sul Trasimeno;PG;L466
Valvestino;BS;L468
Turano Lodigiano;LO;L469
Turate;CO;L470
Turbigo;MI;L471
Turi;BA;L472
Turri;SU;L473
Turriaco;GO;L474
Turrivalignani;PE;L475
Tursi;MT;L477
Tusa;ME;L478
Uboldo;VA;L480
Ucria;ME;L482
Udine;UD;L483
Ugento;LE;L484
Uggiano la Chiesa;LE;L485
Uggiate-Trevano;CO;L487
Ulà Tirso;OR;L488
Ulassai;NU;L489
Ultimo/Ulten;BZ;L490
Umbriatico;KR;L492
Urago d'Oglio;BS;L494
Uras;OR;L496
Urbana;PD;L497
Urbania;PU;L498
Urbe;SV;L499
Urbino;PU;L500
Urbisaglia;MC;L501
Urgnano;BG;L502
Uri;SS;L503
Ururi;CB;L505
Urzulei;NU;L506
Uscio;GE;L507
Usellus;OR;L508
Usini;SS;L509
Usmate Velate;MB;L511
Ussana;SU;L512
Ussaramanna;SU;L513
Ussassai;NU;L514
Usseaux;TO;L515
Usseglio;TO;L516
Ussita;MC;L517
Ustica;PA;L519
Uta;CA;L521
Uzzano;PT;L522
Vaccarizzo Albanese;CS;L524
Vacone;RI;L525
Vacri;CH;L526
Vadena/Pfatten;BZ;L527
Vado Ligure;SV;L528
Vaglia;FI;L529
Vaglio Serra;AT;L531
Vaglio Basilicata;PZ;L532
Vagli Sotto;LU;L533
Vaiano Cremasco;CR;L535
Vaiano;PO;L537
Vaie;TO;L538
Vailate;CR;L539
Vairano Patenora;CE;L540
Valbondione;BG;L544
Valbrembo;BG;L545
Valbrevenna;GE;L546
Valbrona;CO;L547
Valdagno;VI;L551
Valdaora/Olang;BZ;L552
Valdastico;VI;L554
Val della Torre;TO;L555
Valdengo;BI;L556
Valdidentro;SO;L557
Valdieri;CN;L558
Valdina;ME;L561
Val di Nizza;PV;L562
Valdisotto;SO;L563
Val di Vizze/Pfitsch;BZ;L564
Valdobbiadene;TV;L565
Valduggia;VC;L566
Valeggio sul Mincio;VR;L567
Valeggio;PV;L568
Valentano;VT;L569
Valenza;AL;L570
Valenzano;BA;L571
Valera Fratta;LO;L572
Valfabbrica;PG;L573
Valfenera;AT;L574
Valfloriana;TN;L575
Valfurva;SO;L576
Valganna;VA;L577
Valgioie;TO;L578
Valgoglio;BG;L579
Valgrana;CN;L580
Valgreghentino;LC;L581
Valgrisenche;AO;L582
Valguarnera Caropepe;EN;L583
Vallada Agordina;BL;L584
Vallanzengo;BI;L586
Vallarsa;TN;L588
Vallata;AV;L589
Valle di Cadore;BL;L590
Valle di Maddaloni;CE;L591
Valle Lomellina;PV;L593
Valle Agricola;CE;L594
Valle Aurina/Ahrntal;BZ;L595
Vallebona;IM;L596
Valle Castellana;TE;L597
Vallecorsa;FR;L598
Vallecrosia;IM;L599
Valle di Casies/Gsies;BZ;L601
Valledolmo;PA;L603
Valledoria;SS;L604
Vallemaio;FR;L605
Vallelonga;VV;L607
Vallelunga Pratameno;CL;L609
Vallepietra;RM;L611
Vallerano;VT;L612
Vallermosa;SU;L613
Vallerotonda;FR;L614
Vallesaccarda;AV;L616
Valle Salimbene;PV;L617
Valle San Nicolao;BI;L620
Valleve;BG;L623
Valli del Pasubio;VI;L624
Vallinfreda;RM;L625
Vallio Terme;BS;L626
Vallo di Nera;PG;L627
Vallo della Lucania;SA;L628
Vallo Torinese;TO;L629
Valloriate;CN;L631
Valmacca;AL;L633
Valmadrera;LC;L634
Val Masino;SO;L638
Valmontone;RM;L639
Valmorea;CO;L640
Valmozzola;PR;L641
Valnegra;BG;L642
Valpelline;AO;L643
Valperga;TO;L644
Valsavarenche;AO;L647
Valstrona;VB;L651
Valtopina;PG;L653
Valtournenche;AO;L654
Valtorta;BG;L655
Valva;SA;L656
Valverde;CT;L658
Vandoies/Vintl;BZ;L660
Vanzaghello;MI;L664
Vanzago;MI;L665
Vanzone con San Carlo;VB;L666
Vaprio d'Adda;MI;L667
Vaprio d'Agogna;NO;L668
Varallo;VC;L669
Varallo Pombia;NO;L670
Varano Borghi;VA;L671
Varano de' Melegari;PR;L672
Varapodio;RC;L673
Varazze;SV;L675
Varco Sabino;RI;L676
Varedo;MB;L677
Varena;TN;L678
Varenna;LC;L680
Varese Ligure;SP;L681
Varese;VA;L682
Varisella;TO;L685
Varmo;UD;L686
Varna/Vahrn;BZ;L687
Varsi;PR;L689
Varzi;PV;L690
Varzo;VB;L691
Vasia;IM;L693
Vastogirardi;IS;L696
Vauda Canavese;TO;L698
Vazzano;VV;L699
Vazzola;TV;L700
Vecchiano;PI;L702
Vedano Olona;VA;L703
Vedano al Lambro;MB;L704
Vedelago;TV;L706
Vedeseta;BG;L707
Veduggio con Colzano;MB;L709
Veggiano;PD;L710
Veglie;LE;L711
Veglio;BI;L712
Vejano;VT;L713
Veleso;CO;L715
Velezzo Lomellina;PV;L716
Velletri;RM;L719
Vellezzo Bellini;PV;L720
Velo Veronese;VR;L722
Velo d'Astico;VI;L723
Velturno/Feldthurns;BZ;L724
Venafro;IS;L725
Venaus;TO;L726
